  .40384    .26822    .61190
  .50588    .26369    .93065
  .56457    .31335    .99136
  .53291    .31329    .93258
  .47473    .32002    .80087
  .40905    .32835    .75377
  .40195    .31500    .77594
  .41149    .35165    .85571
  .37147    .31126    .77677
  .35374    .30474    .71347
  .31468    .28736    .64602
  .29318    .26488    .57284
  .26340    .25152    .50763
  .24959    .23664    .45925
  .24467    .23187    .43474
  .23364    .21792    .43172
  .22492    .21181    .41585
  .21363    .20252    .39279
  .20443    .19513    .37013
  .19405    .18884    .34827
  .18934    .18589    .32997
  .18026    .18127    .31527
  .17603    .17973    .30409
  .17316    .17874    .29784
  .17188    .17836    .29067

