  0.25    0.02    4.01   13.01   24.32   40.57   61.34
  0.50    0.05    4.60   13.68   25.87   42.50   63.40
  0.75    0.08    5.01   14.29   27.26   43.18   64.72
  1.00    0.12    5.28   14.45   27.78   43.78   65.57
  1.25    0.17    5.47   14.69   28.37   45.08   66.11
  1.50    0.20    5.66   14.98   28.98   45.76   66.78
  1.75    0.26    5.86   15.25   29.36   46.39   67.17
  2.00    0.29    6.01   15.47   29.66   46.83   67.50
  2.25    0.32    6.15   15.67   29.93   47.05   68.10
  2.50    0.37    6.26   15.96   30.29   47.41   68.55
  2.75    0.41    6.39   16.07   30.50   47.65   68.91
  3.00    0.48    6.50   16.26   30.71   47.84   69.22
  3.25    0.54    6.59   16.40   30.97   48.11   69.58
  3.50    0.61    6.66   16.56   31.17   48.39   70.08
  3.75    0.64    6.76   16.73   31.33   48.60   70.40
  4.00    0.71    6.85   16.86   31.50   48.81   70.72
  4.25    0.77    6.91   16.96   31.64   49.05   70.97
  4.50    0.83    7.01   17.05   31.85   49.31   71.25
  4.75    0.86    7.08   17.24   31.98   49.60   71.60
  5.00    0.87    7.18   17.32   32.08   49.76   71.76
  5.25    0.92    7.25   17.46   32.17   50.04   71.93
  5.50    0.95    7.33   17.52   32.30   50.25   72.14
  5.75    0.99    7.41   17.58   32.40   50.41   72.26
  6.00    1.02    7.47   17.67   32.48   50.55   72.48
  6.25    1.05    7.52   17.77   32.61   50.73   72.63
  6.50    1.09    7.56   17.86   32.76   50.81   72.86
  6.75    1.13    7.63   18.04   32.87   50.94   73.05
  7.00    1.17    7.69   18.11   33.01   51.07   73.33
  7.25    1.20    7.76   18.21   33.12   51.22   73.53
  7.50    1.23    7.79   18.27   33.24   51.34   73.75
  7.75    1.27    7.84   18.36   33.33   51.50   73.92
  8.00    1.32    7.88   18.43   33.44   51.66   74.03
  8.25    1.34    7.94   18.53   33.53   51.78   74.22
  8.50    1.37    7.99   18.64   33.63   51.90   74.49
  8.75    1.39    8.04   18.82   33.69   52.07   74.63
  9.00    1.41    8.08   18.93   33.79   52.20   74.75
  9.25    1.45    8.12   19.04   33.88   52.30   74.95
  9.50    1.48    8.18   19.11   33.96   52.41   75.12
  9.75    1.51    8.23   19.20   34.03   52.52   75.27
 10.00    1.53    8.30   19.28   34.17   52.65   75.41
 10.25    1.56    8.36   19.32   34.21   52.76   75.56
 10.50    1.59    8.42   19.39   34.34   52.88   75.69
 10.75    1.61    8.47   19.47   34.39   53.01   75.83
