obs,pvdmily,TB3M,AvgMargTax,hrs,govsav,nfoutput,nfdefl,tfpgr,govcons,gdp,defl
1948Q1,0.007078254031,0.990000009537,0.193000003695,88.174,7.8,12.913,16.134,9.315322640644,415.5,1821.800000000000,14.288
1948Q2,0.013446023819,1.000000000000,0.193000003695,88.127,5.1,12.896,16.396,8.917257399469,435.5,1855.300000000000,14.405
1948Q3,0.000000000000,1.049999952316,0.193000003695,88.754,1.4,13.006,16.712,-3.274462802857,444.0,1865.300000000000,14.678
1948Q4,0.000000000000,1.139999985695,0.193000003695,87.932,0.2,12.953,16.947,0.741524874943,462.7,1868.200000000000,14.726
1949Q1,0.000000000000,1.169999957085,0.187000006437,86.451,-3.4,12.866,16.839,-5.849454472428,475.9,1842.200000000000,14.653
1949Q2,0.000000000000,1.169999957085,0.187000006437,85.005,-6.5,12.782,16.670,-1.276483774761,497.4,1835.500000000000,14.503
1949Q3,0.000000000000,1.043333292007,0.187000006437,84.113,-6.5,12.957,16.622,7.322253907862,502.4,1856.100000000000,14.419
1949Q4,-0.007473841555,1.076666712761,0.187000006437,83.776,-6.1,12.828,16.563,-2.691349291055,491.8,1838.700000000000,14.421
1950Q1,0.000000000000,1.103333353996,0.210999995470,84.425,-8.3,13.374,16.617,16.475541035469,483.5,1913.000000000000,14.386
1950Q2,0.027979651163,1.153333306313,0.210999995470,86.508,2.8,13.860,16.693,7.958572625956,491.4,1971.200000000000,14.433
1950Q3,0.630579964851,1.220000028610,0.210999995470,89.237,13.6,14.620,16.869,9.225040667467,482.0,2048.400000000000,14.740
1950Q4,0.410732030474,1.336666703224,0.210999995470,90.060,14.2,14.778,17.221,1.241166988896,512.7,2084.400000000000,15.032
1951Q1,0.013086498564,1.366666674614,0.247999995947,91.574,17.3,15.059,17.697,-2.073198920324,567.5,2110.700000000000,15.585
1951Q2,0.000000000000,1.490000009537,0.247999995947,92.310,10.1,15.137,17.932,-0.140774682777,645.6,2145.700000000000,15.688
1951Q3,0.000000000000,1.603333353996,0.247999995947,91.398,5.4,15.330,18.041,7.473425373841,718.8,2188.500000000000,15.696
1951Q4,0.000000000000,1.610000014305,0.247999995947,91.441,6.0,15.371,18.163,-0.744057819751,758.9,2192.200000000000,15.871
1952Q1,-0.001437194596,1.566666722298,0.268000006676,92.030,6.9,15.535,18.182,0.630581485098,782.4,2214.300000000000,15.861
1952Q2,-0.013097949886,1.646666646004,0.268000006676,91.648,3.4,15.444,18.190,1.930158124722,808.9,2216.700000000000,15.886
1952Q3,0.002272081795,1.783333301544,0.268000006676,92.307,1.1,15.483,18.380,0.128806213747,817.0,2231.600000000000,16.065
1952Q4,0.000000000000,1.893333315849,0.268000006676,94.778,3.5,16.205,18.529,6.962863324296,831.6,2305.300000000000,16.109
1953Q1,-0.020193861066,1.980000019073,0.266000002623,95.761,4.3,16.500,18.556,5.101799326712,859.8,2348.400000000000,16.112
1953Q2,-0.011627906977,2.153333425522,0.266000002623,95.929,2.6,16.575,18.666,1.786361189204,878.7,2366.200000000000,16.142
1953Q3,-0.030628272251,1.956666588783,0.266000002623,94.972,3.5,16.487,18.724,-2.564657333072,868.1,2351.800000000000,16.205
1953Q4,-0.002623983207,1.473333358765,0.266000002623,93.477,-3.2,16.157,18.757,-6.449283479901,865.4,2314.600000000000,16.240
